"","rowid","blockType","diceIndices_1","diceIndices_2","block","trialIndex","allTrialIndex","key","R","startSqueezyAcquisition","stateTime","state","diceWeights_1","diceWeights_2","diceWeights_3","diceWeights_4","criteria_1","criteria_2","criteria_3","criteria_4","criteria_5","bank","purse_1","purse_2","diceRollTime","break.","chosenDice","startDice","chosenDiceLocation","endDice","chosenWinProbs_1","chosenWinProbs_2","unchosenDice","rand_1","rand_2","winnings_1","winnings_2","randRwd","allowedWinnings_1","allowedWinnings_2","totalWin","isPurseFull_1","isPurseFull_2","winCurrency","isWinPurseFull","startReward","endReward","isPurseFullAfterReward_1","isPurseFullAfterReward_2","meanRecentChoice","moveToBank","goToNextState","recentPreference_1","recentPreference_2","startITI","startScan","subject_nr","stateName","correctDice","correct","chosen_dev"
"11",11,1,1,2,1,11,11,0,1,2933874.1951621,11,1,0.15,0,0,0.85,0,2,20,0,3,5,3,1,1.35156612125671,0,2,2933874.55755287,2,2933875.29052737,0,0.85,0,0.140065697798588,0.374752091692459,0,1,0.0485455482350204,0,1,1,0,0,2,0,2933876.70928034,2933877.24056905,0,0,1.66666666666667,0,0,0,0,2933877.24133153,2933836.66654693,"02","learning",2,1,0
"12",12,1,2,1,1,12,12,0,1,2933877.68762038,12,1,0.15,0,0,0.85,0,2,20,0,3,5,3,2,1.20563318964077,0,2,2933878.04372863,1,2933878.82622619,0,0.85,0,0.260603859940142,0.555000229762003,0,1,0.0899029537391824,0,1,1,0,0,2,0,2933880.09540965,2933880.62404293,0,0,1.77777777777778,0,1,0,1,2933880.62565605,2933836.66654693,"02","learning",2,1,0
"13",13,1,1,2,1,13,13,0,1,2933881.06388957,1,2,0.85,0,0,0.15,0,1,20,0,3,5,4,2,1.54720972484721,0,2,2933881.42974233,2,2933882.18626249,0,0.15,0,0.675376910118313,0.0694198700188479,1,0,0.955251232616325,1,0,1,0,0,1,0,2933883.8150524,2933884.34446084,0,0,1.88888888888889,0,0,0,1,2933884.34522273,2933836.66654693,"02","learning",1,0,0
"14",14,1,1,2,1,14,14,0,1,2933884.79869363,2,2,0.85,0,0,0.15,0,1,20,0,3,5,4,3,1.10425535062082,0,2,2933885.16620538,2,2933885.962978,0,0.15,0,0.490119901418741,0.113457508301617,0,1,0.395232168035565,0,1,1,0,0,2,0,2933887.13445529,2933887.68513853,0,0,2,0,0,0,1,2933887.68590101,2933836.66654693,"02","learning",1,0,0
"15",15,1,2,1,1,15,15,0,1,2933888.13656466,3,2,0.85,0,0,0.15,0,1,20,0,3,5,4,3,1.2841351550256,0,2,2933888.50206545,1,2933889.33804188,0,0.15,0,0.465166350818428,0.271430140399787,0,0,0.322625552784416,0,0,0,0,0,0,0,2933890.70383577,2933891.23316483,0,0,2,0,0,0,1,2933891.23478096,2933836.66654693,"02","learning",1,0,0
"16",16,1,1,2,1,16,16,0,1,2933891.51440531,4,2,0.85,0,0,0.15,0,1,20,0,3,10,0,3,1.25636092608604,0,1,2933891.87145686,1,2933892.80998907,0.85,0,1,0.191538322946549,0.338431999690478,1,0,0.269892423601272,1,0,1,0,0,1,0,2933894.13987149,2933894.66766621,1,0,2,1,0,0,1,2933896.12203906,2933836.66654693,"02","learning",1,1,0
"17",17,1,2,1,1,17,17,0,1,2933896.63693398,5,2,0.85,0,0,0.15,0,1,20,0,3,10,1,3,1.85074969088265,0,1,2933896.97567677,2,2933897.59442122,0.85,0,1,0.79007364975556,0.00100014846446617,1,0,0.354816225225768,1,0,1,0,0,1,0,2933899.52763957,2933900.06146779,0,0,1.88888888888889,0,0,0,1,2933900.0621702,2933836.66654693,"02","learning",1,1,0
"18",18,1,1,2,1,18,18,0,1,2933900.50276756,6,2,0.85,0,0,0.15,0,1,20,0,3,10,2,3,1.03935630477165,0,1,2933900.84541697,1,2933901.89849256,0.85,0,1,0.821112091468818,0.775231627212064,1,0,0.303938453318628,1,0,1,0,0,1,0,2933903.01378032,2933903.54381813,0,0,1.77777777777778,0,0,0,1,2933903.54456764,2933836.66654693,"02","learning",1,1,0
"19",19,1,2,1,1,19,19,0,1,2933903.98217965,7,2,0.85,0,0,0.15,0,1,20,0,3,10,3,3,1.20827522320857,0,1,2933904.33154262,2,2933904.92150151,0.85,0,1,0.531176380198339,0.252322956322194,1,0,0.385537318105773,1,0,1,0,0,1,0,2933906.19953297,2933906.72783602,0,0,1.66666666666667,0,0,0,0,2933906.72857556,2933836.66654693,"02","learning",1,1,0
"20",20,1,2,1,1,20,20,0,1,2933907.16908871,8,2,0.85,0,0,0.15,0,1,20,0,3,10,4,3,1.22406767854858,0,1,2933907.51742658,2,2933907.99362179,0.85,0,1,0.461876476529268,0.459033185485578,1,0,0.758188009541677,1,0,1,0,0,1,0,2933909.28545892,2933909.81398081,0,0,1.55555555555556,0,0,0,0,2933909.81471039,2933836.66654693,"02","learning",1,1,0
"21",21,1,2,1,1,21,21,0,1,2933910.25223788,9,2,0.85,0,0,0.15,0,1,20,0,3,15,0,3,1.07539352188142,0,1,2933910.58655486,2,2933911.17787392,0.85,0,1,0.0269393668707594,0.85898722933918,1,0,0.674298595597075,1,0,1,0,0,1,0,2933912.32119984,2933912.87371262,1,0,1.44444444444444,1,0,0,0,2933914.33354212,2933836.66654693,"02","learning",1,1,0
"22",22,1,2,1,1,22,22,0,1,2933914.84319863,10,2,0.85,0,0,0.15,0,1,20,0,3,15,0,3,1.37928997241348,0,1,2933915.19026932,2,2933915.86576567,0.85,0,1,0.878524798315905,0.496979453927955,0,0,0.252059063050181,0,0,0,0,0,0,0,2933917.30851133,2933917.85341917,0,0,1.33333333333333,0,0,0,0,2933917.85443551,2933836.66654693,"02","learning",1,1,0
"23",23,1,1,2,1,23,23,0,1,2933918.13727885,11,2,0.85,0,0,0.15,0,1,20,0,3,15,0,3,1.27522441760615,0,2,2933918.49284134,2,2933918.97021801,0,0.15,0,0.39374124304333,0.842849154667424,0,0,0.856069736180758,0,0,0,0,0,0,0,2933920.31091984,2933920.84459985,0,0,1.22222222222222,0,1,1,0,2933920.84706812,2933836.66654693,"02","learning",1,0,0
"24",24,1,1,2,1,24,24,0,1,2933921.12600092,1,3,0.85,0,0,0.15,1,0,0,0,2,15,1,3,0.606595089801695,0,1,2933921.47845188,1,2933922.617141,0.85,0,1,0.700381628372355,0.687965528832966,1,0,0.793152734304457,1,0,1,0,0,1,0,2933923.29668765,2933923.82531247,0,0,1.22222222222222,0,0,1,0,2933923.82650933,2933836.66654693,"02","fill",1,1,0
"25",25,1,2,1,1,25,25,0,1,2933924.26970144,2,3,0.85,0,0,0.15,1,0,0,0,2,15,1,4,1.43960393607939,0,1,2933924.63104206,2,2933925.24139553,0.85,0,1,0.382835568296841,0.24313565140507,0,1,0.97610968424681,0,1,1,0,0,2,0,2933926.74936467,2933927.27693421,0,0,1.11111111111111,0,0,1,0,2933927.27769247,2933836.66654693,"02","fill",1,1,0
"26",26,1,1,2,1,26,26,0,1,2933927.77055524,3,3,0.85,0,0,0.15,1,0,0,0,2,15,2,4,1.16636717044023,0,1,2933928.1338069,1,2933928.76129884,0.85,0,1,0.190377310336125,0.249423077219716,1,0,0.000684928023714559,1,0,1,0,0,1,0,2933930.00207496,2933930.53929694,0,0,1.11111111111111,0,0,1,0,2933930.54008538,2933836.66654693,"02","fill",1,1,0
"27",27,1,1,2,1,27,27,0,1,2933930.98054027,4,3,0.85,0,0,0.15,1,0,0,0,2,15,3,4,0.835356891104548,0,1,2933931.33653683,1,2933932.10570082,0.85,0,1,0.0820418569073691,0.491715701684986,1,0,0.327813904240194,1,0,1,0,0,1,0,2933933.02104266,2933933.54875951,0,0,1.11111111111111,0,0,1,0,2933933.5495721,2933836.66654693,"02","fill",1,1,0
"28",28,1,1,2,1,28,28,0,1,2933933.98328414,5,3,0.85,0,0,0.15,1,0,0,0,2,20,3,0,1.95529904360133,0,1,2933934.33878082,1,2933935.03354251,0.85,0,1,0.649791722097847,0.747698055138502,0,1,0.878376002001508,0,1,1,0,0,2,0,2933937.05767406,2933937.58836207,0,1,1.11111111111111,2,0,1,0,2933939.05410251,2933836.66654693,"02","fill",1,1,0
"29",29,1,1,2,1,29,29,0,1,2933939.56013192,6,3,0.85,0,0,0.15,1,0,0,0,2,20,3,0,1.84464505635707,0,1,2933939.910047,1,2933940.80870075,0.85,0,1,0.979921913366354,0.732117197050109,0,0,0.297702025262616,0,0,0,0,0,0,0,2933942.71209303,2933943.24117366,0,0,1.11111111111111,0,0,1,0,2933943.24253081,2933836.66654693,"02","fill",1,1,0
"30",30,1,2,1,1,30,30,0,1,2933943.52008593,7,3,0.85,0,0,0.15,1,0,0,0,2,20,3,0,1.83857322714318,0,2,2933943.86319627,1,2933944.56903576,0,0.15,0,0.00828711990682307,0.22200466874768,0,0,0.958883553559353,0,0,0,0,0,0,0,2933946.48187885,2933947.01158854,0,0,1.11111111111111,0,0,1,0,2933947.0128506,2933836.66654693,"02","fill",1,0,0
"31",31,1,1,2,1,31,31,0,1,2933947.28728122,8,3,0.85,0,0,0.15,1,0,0,0,2,20,4,0,1.07617515713183,0,1,2933947.64955819,1,2933948.5051652,0.85,0,1,0.0478016972758322,0.944899148650268,1,0,0.603498302418801,1,0,1,0,0,1,0,2933949.65113931,2933950.18887897,0,0,1.22222222222222,0,0,1,0,2933950.1895186,2933836.66654693,"02","fill",1,1,0
"32",32,1,1,2,1,32,32,0,1,2933950.63813265,9,3,0.85,0,0,0.15,1,0,0,0,2,20,5,0,2.42052833106635,0,1,2933951.00210967,1,2933951.81743193,0.85,0,1,0.794803653598049,0.59243727091513,1,0,0.576416220027356,1,0,1,0,0,1,0,2933954.30496755,2933954.83773655,1,0,1.22222222222222,0,1,1,0,2933954.83922531,2933836.66654693,"02","fill",1,1,0
"33",33,1,1,2,1,33,33,0,1,2933955.27198891,1,4,0,0,0,0,0,0,8,0,2,20,5,0,2.51242821407687,0,1,2933955.62248958,1,2933956.56941851,0,0,1,0.862012642143869,0.185085696833009,0,0,0.440450705423882,0,0,0,1,0,0,0,2933959.14206538,2933959.69389566,1,0,1.11111111111111,0,0,1,0,2933959.69528873,2933836.66654693,"02","extinction",2,0,0
"34",34,1,1,2,1,34,34,0,1,2933959.97048606,2,4,0,0,0,0,0,0,8,0,2,20,5,0,1.28921260638659,0,2,2933960.32623449,2,2933960.98458634,0,0,0,0.798828476872535,0.579301549836566,0,0,0.658432966380943,0,0,0,1,0,0,0,2933962.34461056,2933962.87926013,1,0,1.11111111111111,0,0,1,0,2933962.8806704,2933836.66654693,"02","extinction",2,1,3.27017075212872e-08
"35",35,1,2,1,1,35,35,0,1,2933963.1600433,3,4,0,0,0,0,0,0,8,0,2,20,5,0,1.93053489023887,0,2,2933963.51219784,1,2933964.29684189,0,0,0,0.502854409575365,0.269178792708214,0,0,0.067572734407534,0,0,0,1,0,0,0,2933966.29778972,2933966.83923617,1,0,1.22222222222222,0,0,1,0,2933966.84064614,2933836.66654693,"02","extinction",2,1,1.23504757154498e-08
"36",36,1,1,2,1,36,36,0,1,2933967.13017618,4,4,0,0,0,0,0,0,8,0,2,20,5,0,0.665372905337966,0,1,2933967.48211037,1,2933968.29678545,0,0,1,0.396509015284771,0.890046008759152,0,0,0.626867967543084,0,0,0,1,0,0,0,2933969.03325997,2933969.56481944,1,0,1.33333333333333,0,0,0,0,2933969.56631363,2933836.66654693,"02","extinction",2,0,0.248223715218683
"37",37,1,1,2,1,37,37,0,1,2933969.83830736,5,4,0,0,0,0,0,0,8,0,2,20,5,0,0.595754328854107,0,2,2933970.20084695,2,2933971.49714097,0,0,0,0.334195397074197,0.17065743861839,0,0,0.804298185066261,0,0,0,1,0,0,0,2933972.16902411,2933972.69568838,1,0,1.33333333333333,0,0,0,0,2933972.6970404,2933836.66654693,"02","extinction",2,1,4.72463902637866e-09
"38",38,1,2,1,1,38,38,0,1,2933972.97679514,6,4,0,0,0,0,0,0,8,0,2,20,5,0,1.47011677663745,0,1,2933973.33686676,2,2933973.86513419,0,0,1,0.00772113181614431,0.580471238225826,0,0,0.929475239297882,0,0,0,1,0,0,0,2933975.40508011,2933975.93298079,1,0,1.44444444444444,0,0,0,0,2933975.93436178,2933836.66654693,"02","extinction",2,0,0.069068014956687
"39",39,1,1,2,1,39,39,0,1,2933976.21426202,7,4,0,0,0,0,0,0,8,0,2,20,5,0,1.1233355286761,0,1,2933976.57273742,1,2933977.27226058,0,0,1,0.13781476807385,0.226805858872159,0,0,0.666084046910133,0,0,0,1,0,0,0,2933978.45751698,2933978.9886943,1,0,1.44444444444444,0,0,0,0,2933978.99008253,2933836.66654693,"02","extinction",2,0,0.0199470913171767
"40",40,1,2,1,1,40,40,0,1,2933979.26954146,8,4,0,0,0,0,0,0,8,0,2,20,5,0,1.99127503977473,0,2,2933979.62515557,1,2933980.04117704,0,0,0,0.202461520455021,0.736849726245455,0,0,0.781129021443003,0,0,0,1,0,0,0,2933982.09376273,2933982.62343861,1,0,1.33333333333333,0,1,0,0,2933982.62570404,2933836.66654693,"02","extinction",2,1,1.82948091518242e-09
"41",41,1,2,1,1,41,41,0,1,2933982.90423748,1,5,0.85,0,0,0.85,0,2,20,1,2,20,5,1,2.22867708349046,0,2,2933983.26145022,1,2933983.81709445,0,0.85,0,0.195543628710122,0.451840101738005,0,1,0.765955316021699,0,1,1,1,0,2,0,2933986.11364807,2933986.65024702,1,0,1.44444444444444,0,0,0,0,2933986.65119123,2933836.66654693,"02","reinstatement",2,1,7.16609177436905e-10
"42",42,1,2,1,1,42,42,0,1,2933987.0941974,2,5,0.85,0,0,0.85,0,2,20,1,2,20,5,1,2.05891818513444,0,2,2933987.43141823,1,2933988.0405845,0,0.85,0,0.391100826994542,0.95736164226806,0,0,0.113652417329075,0,0,0,1,0,0,0,2933990.16679702,2933990.69424672,1,0,1.55555555555556,0,0,0,0,2933990.69574181,2933836.66654693,"02","reinstatement",2,1,2.83770930337157e-10
"43",43,1,2,1,1,43,43,0,1,2933990.97533567,3,5,0.85,0,0,0.85,0,2,20,1,2,20,5,1,0.651457711887573,0,2,2933991.33454247,1,2933991.92885714,0,0.85,0,0.5283611586724,0.994034845241839,0,0,0.724952771196663,0,0,0,1,0,0,0,2933992.65220546,2933993.18227437,1,0,1.66666666666667,0,0,0,0,2933993.18378908,2933836.66654693,"02","reinstatement",2,1,1.13535741218251e-10
"44",44,1,2,1,1,44,44,0,1,2933993.46242908,4,5,0.85,0,0,0.85,0,2,20,1,2,20,5,1,1.03068505662523,0,1,2933993.8198516,2,2933994.2640172,0.85,0,1,0.716383235360676,0.0264183726545999,1,0,0.358342237733497,0,0,1,1,0,1,1,2933995.33489413,2933995.38673875,1,0,1.66666666666667,0,0,0,0,2933996.1338063,2933836.66654693,"02","reinstatement",2,0,0.00595493256761533
"45",45,1,2,1,1,45,45,0,1,2933996.57082154,5,5,0.85,0,0,0.85,0,2,20,1,2,20,5,1,1.96028603706264,0,1,2933996.93905986,2,2933997.88013279,0.85,0,1,0.572566326535777,0.348198924540854,1,0,0.746294260463067,0,0,1,1,0,1,1,2933999.88358512,2933999.9357639,1,0,1.55555555555556,0,0,0,0,2934000.70258186,2933836.66654693,"02","reinstatement",2,0,0.73369761923594
"46",46,1,2,1,1,46,46,0,1,2934001.13513748,6,5,0.85,0,0,0.85,0,2,20,1,2,20,5,2,1.15048261810818,0,2,2934001.49263517,1,2934001.94437222,0,0.85,0,0.33794877817418,0.301510814199426,0,1,0.567381499506493,0,1,1,1,0,2,0,2934003.17735593,2934003.70934705,1,0,1.55555555555556,0,0,0,0,2934003.7101035,2933836.66654693,"02","reinstatement",2,1,7.69362679120533e-12
"47",47,1,1,2,1,47,47,0,1,2934004.14972708,7,5,0.85,0,0,0.85,0,2,20,1,2,20,5,2,1.67175100947766,0,2,2934004.51164061,2,2934005.0964592,0,0.85,0,0.549785010718484,0.869161429041354,0,0,0.216968685343673,0,0,0,1,0,0,0,2934006.8468538,2934007.37799731,1,0,1.55555555555556,0,0,0,0,2934007.37941845,2933836.66654693,"02","reinstatement",2,1,3.19068774179421e-12
"48",48,1,1,2,1,48,48,0,1,2934007.7061018,8,5,0.85,0,0,0.85,0,2,20,1,2,20,5,2,1.3672225814894,0,1,2934008.06455034,1,2934008.8724723,0.85,0,1,0.311023706406891,0.983031621912547,1,0,0.316017932680072,0,0,1,1,0,1,1,2934010.28262932,2934010.32972545,1,0,1.66666666666667,0,0,0,0,2934011.08317091,2933836.66654693,"02","reinstatement",2,0,0.925568354065827
"49",49,1,1,2,1,49,49,0,1,2934011.52402847,9,5,0.85,0,0,0.85,0,2,20,1,2,20,5,3,1.51609314746713,0,2,2934011.86763929,2,2934012.29571627,0,0.85,0,0.0990899649582228,0.233816755726384,0,1,0.786911877776759,0,1,1,1,0,2,0,2934013.88589975,2934014.41918734,1,0,1.66666666666667,0,0,0,0,2934014.419929,2933836.66654693,"02","reinstatement",2,1,5.61381933994465e-13
"50",50,1,1,2,1,50,50,0,1,2934014.86707844,10,5,0.85,0,0,0.85,0,2,20,1,2,20,5,4,0.825640132377571,0,2,2934015.20369586,2,2934015.51177162,0,0.85,0,0.295606602170896,0.504232573144635,0,1,0.485898659118876,0,1,1,1,0,2,0,2934016.40455428,2934016.93827715,1,0,1.66666666666667,0,0,0,0,2934016.93901518,2933836.66654693,"02","reinstatement",2,1,2.37947606063216e-13
"51",51,1,1,2,1,51,51,0,1,2934017.38229665,11,5,0.85,0,0,0.85,0,2,20,1,2,25,5,0,2.09579293763838,0,2,2934017.72234104,2,2934018.07187275,0,0.85,0,0.300170513663481,0.451105531331819,0,1,0.350758533190206,0,1,1,1,0,2,0,2934020.22429238,2934020.75332139,1,1,1.66666666666667,2,0,0,0,2934022.2042878,2933836.66654693,"02","reinstatement",2,1,1.01503389027258e-13
"52",52,1,1,2,1,52,52,0,1,2934022.71462047,12,5,0.85,0,0,0.85,0,2,20,1,2,25,5,0,1.77366747877547,0,2,2934023.05995971,2,2934023.52859192,0,0.85,0,0.0230913849179345,0.880124682946925,0,0,0.909861742221009,0,0,0,1,0,0,0,2934025.3784507,2934025.91379031,1,0,1.66666666666667,0,0,0,0,2934025.91518428,2933836.66654693,"02","reinstatement",2,1,4.35576297252993e-14
"53",53,1,2,1,1,53,53,0,1,2934026.19939291,13,5,0.85,0,0,0.85,0,2,20,1,2,25,5,0,1.26700475965235,0,2,2934026.56261288,1,2934027.25545355,0,0.85,0,0.594280416820639,0.177835772738246,1,0,0.940091186475176,0,0,1,1,0,1,1,2934028.56386346,2934028.60634422,1,0,1.66666666666667,0,0,0,0,2934029.36238654,2933836.66654693,"02","reinstatement",2,1,1.87976995080774e-14
"54",54,1,1,2,1,54,54,0,1,2934029.85021436,14,5,0.85,0,0,0.85,0,2,20,1,2,30,0,0,1.98675336390151,0,1,2934030.21553736,1,2934030.82386326,0.85,0,1,0.37627537269847,0.16548899129221,1,0,0.502571526834518,0,0,1,1,0,1,1,2934032.85366005,2934032.90471351,1,0,1.77777777777778,1,1,0,1,2934035.11422432,2933836.66654693,"02","reinstatement",2,0,0.261663882064893
"55",55,1,1,2,1,55,55,0,1,2934035.62873105,1,6,0.85,0,0,0.85,0,0,4,0,3,30,1,0,1.32409399487033,0,1,2934035.98683064,1,2934036.51979464,0.85,0,1,0.179620822484004,0.762488833837599,1,0,0.462711294223134,1,0,1,0,0,1,0,2934037.90505611,2934038.43847049,0,0,1.77777777777778,0,0,0,1,2934038.43918166,2933836.66654693,"02","post",3,0,0.804878792504715
"56",56,1,1,2,1,56,56,0,1,2934038.88835595,2,6,0.85,0,0,0.85,0,0,4,0,3,30,1,0,1.12789997861344,0,1,2934039.23958952,1,2934039.72005538,0.85,0,1,0.963368686686604,0.145931989623312,0,0,0.377906273128162,0,0,0,0,0,0,0,2934040.90749299,2934041.44129253,0,0,1.66666666666667,0,0,0,0,2934041.44271458,2933836.66654693,"02","post",3,0,0
"57",57,1,2,1,1,57,57,0,1,2934041.7274098,3,6,0.85,0,0,0.85,0,0,4,0,3,30,1,0,1.36974295994495,0,1,2934042.09186858,2,2934042.47200122,0.85,0,1,0.858062642848434,0.0448656022297962,0,0,0.900074379728664,0,0,0,0,0,0,0,2934043.90988128,2934044.44139305,0,0,1.55555555555556,0,0,0,0,2934044.44277646,2933836.66654693,"02","post",3,0,0
"58",58,1,1,2,1,58,58,0,1,2934044.72653894,4,6,0.85,0,0,0.85,0,0,4,0,3,30,1,1,1.1425288509279,0,2,2934045.09429792,2,2934045.62337251,0,0.85,0,0.408512594116279,0.302726747291083,0,1,0.701627147417534,0,1,1,0,0,2,0,2934046.82893203,2934047.36021228,0,0,1.55555555555556,0,1,0,0,2934047.36113837,2933836.66654693,"02","post",3,0,0
"59",59,1,2,1,1,59,59,0,1,2934047.80245203,1,7,0.15,0,0,0.85,0,2,20,0,3,30,1,1,2.38759516051446,0,2,2934048.16326863,1,2934048.85523996,0,0.85,0,0.303631318222409,0.974862932181197,0,0,0.696346750682725,0,0,0,0,0,0,0,2934051.31574802,2934051.84351075,0,0,1.55555555555556,0,0,0,0,2934051.84489536,2933836.66654693,"02","learning",2,1,0
"60",60,1,1,2,1,60,60,0,1,2934052.12370561,2,7,0.15,0,0,0.85,0,2,20,0,3,30,1,2,1.68884492203103,0,2,2934052.48337696,2,2934053.57543752,0,0.85,0,0.482290852865876,0.333008638991138,0,1,0.589946886434272,0,1,1,0,0,2,0,2934055.33566175,2934055.86942567,0,0,1.55555555555556,0,0,0,0,2934055.87017397,2933836.66654693,"02","learning",2,1,0
"61",61,1,2,1,1,61,61,0,1,2934056.31821237,3,7,0.15,0,0,0.85,0,2,20,0,3,30,1,2,2.08081572151438,0,2,2934056.67019908,1,2934057.0795423,0,0.85,0,0.484985549543597,0.947132319712549,0,0,0.798402313746861,0,0,0,0,0,0,0,2934059.22219479,2934059.75195761,0,0,1.55555555555556,0,0,0,0,2934059.753338,2933836.66654693,"02","learning",2,1,0
"62",62,1,1,2,1,62,62,0,1,2934060.03856931,4,7,0.15,0,0,0.85,0,2,20,0,3,30,1,3,1.23231373812338,0,2,2934060.38983972,2,2934060.72764404,0,0.85,0,0.0323122576066378,0.0447672480513643,0,1,0.367574501087844,0,1,1,0,0,2,0,2934062.04114414,2934062.58406425,0,0,1.55555555555556,0,0,0,0,2934062.5848201,2933836.66654693,"02","learning",2,1,0
"63",63,1,2,1,1,63,63,0,1,2934063.06432455,5,7,0.15,0,0,0.85,0,2,20,0,3,30,1,3,1.40767659275558,0,2,2934063.42563799,1,2934063.8307993,0,0.85,0,0.565903422838125,0.860576153350736,0,0,0.6882449990899,0,0,0,0,0,0,0,2934065.31035809,2934065.83956942,0,0,1.55555555555556,0,0,0,0,2934065.84099327,2933836.66654693,"02","learning",2,1,0
