"","rowid","X","chosenDice","totalWin","state","stateTime","MR","MG","isPurseFull_1","isPurseFull_2","VA","VB","chosenNet","chosenDevalued","rwd_devalued","winCurr","chosenRed","chosenGreen","prefT","vDiff","subject_nr","allTrialIndex","stateName","correctDice","correct"
"37",37,37,2,0,3,20,1,1,0,0,0.999416306412031,0.34434294146836,0.138762595432742,0.138762595432742,0,0,0,0.138762595432742,0,0,"07",37,"learning",1,0
"38",38,38,1,1,4,1,1,1,0,0,0.999416306412031,0.138762595432742,0.999764784383677,0.999764784383677,1,1,0.999764784383677,0,0,0,"07",38,"fill",1,1
"39",39,39,1,0,4,2,1,1,0,0,0.999764784383677,0.138762595432742,0.402883113304887,0.402883113304887,0,0,0.402883113304887,0,0,0,"07",39,"fill",1,1
"40",40,40,2,0,4,3,1,1,0,0,0.402883113304887,0.138762595432742,0.0559182593060361,0.0559182593060361,0,0,0,0.0559182593060361,0,0,"07",40,"fill",1,0
"41",41,41,2,0,4,4,1,1,0,0,0.402883113304887,0.0559182593060361,0.0225338227068019,0.0225338227068019,0,0,0,0.0225338227068019,0,0,"07",41,"fill",1,0
"42",42,42,2,0,4,5,1,1,0,0,0.402883113304887,0.0225338227068019,0.00908063255335935,0.00908063255335935,0,0,0,0.00908063255335935,0,0,"07",42,"fill",1,0
"43",43,43,1,1,4,6,1,1,1,0,0.402883113304887,0.00908063255335935,0.759375090945065,0.759375090945065,1,1,0.759375090945065,0,0,0,"07",43,"fill",1,1
"44",44,44,2,0,5,1,0,1,1,0,0,0.00908063255335935,0.00365929423702439,0.00365929423702439,0,0,0,0.00365929423702439,0,0,"07",44,"extinction",2,1
"45",45,45,2,0,5,2,0,1,1,0,0,0.00365929423702439,0.00147461470711819,0.00147461470711819,0,0,0,0.00147461470711819,0,0,"07",45,"extinction",2,1
"46",46,46,2,0,5,3,0,1,1,0,0,0.00147461470711819,0.000594237137983603,0.000594237137983603,0,0,0,0.000594237137983603,0,0,"07",46,"extinction",2,1
"47",47,47,1,0,5,4,0,1,1,0,0,0.000594237137983603,0.306011379461351,0,0,0,0.306011379461351,0,0,0.306011379461351,"07",47,"extinction",2,0
"48",48,48,2,0,5,5,0,1,1,0,0,0.000594237137983603,0.000239464433966643,0.000239464433966643,0,0,0,0.000239464433966643,0,0,"07",48,"extinction",2,1
"49",49,49,1,0,5,6,0,1,1,0,0,0.000239464433966643,0.123315823071439,0,0,0,0.123315823071439,0,0,0.123315823071439,"07",49,"extinction",2,0
"50",50,50,2,0,5,7,0,1,1,0,0,0.000239464433966643,9.64988747245663e-05,9.64988747245663e-05,0,0,0,9.64988747245663e-05,0,0,"07",50,"extinction",2,1
"51",51,51,2,0,5,8,0,1,1,0,0,9.64988747245663e-05,3.88869138888688e-05,3.88869138888688e-05,0,0,0,3.88869138888688e-05,0,0,"07",51,"extinction",2,1
"52",52,52,1,1,6,1,0,1,1,0,0,3.88869138888688e-05,0.6467156514181,0,0,1,0.6467156514181,0,0,0.6467156514181,"07",52,"reinstatement",2,0
"53",53,53,2,1,6,2,0,1,1,0,0,3.88869138888688e-05,0.597037770566896,0.597037770566896,1,2,0,0.597037770566896,0,0,"07",53,"reinstatement",2,1
"54",54,54,2,0,6,3,0,1,1,0,0,0.597037770566896,0.24059302700373,0.24059302700373,0,0,0,0.24059302700373,0,0,"07",54,"reinstatement",2,1
"55",55,55,2,1,6,4,0,1,1,0,0,0.24059302700373,0.693975772776606,0.693975772776606,1,2,0,0.693975772776606,0,0,"07",55,"reinstatement",2,1
"56",56,56,2,1,6,5,0,1,1,0,0,0.693975772776606,0.876678999564394,0.876678999564394,1,2,0,0.876678999564394,0,0,"07",56,"reinstatement",2,1
"57",57,57,1,1,6,6,0,1,1,0,0,0.876678999564394,0.857634215105598,0,0,1,0.857634215105598,0,0,0.857634215105598,"07",57,"reinstatement",2,0
"58",58,58,2,0,6,7,0,1,1,0,0,0.876678999564394,0.35328226221856,0.35328226221856,0,0,0,0.35328226221856,0,0,"07",58,"reinstatement",2,1
"59",59,59,2,0,6,8,0,1,1,0,0,0.35328226221856,0.142364944136085,0.142364944136085,0,0,0,0.142364944136085,0,0,"07",59,"reinstatement",2,1
"60",60,60,1,1,7,1,0,1,0,0,0,0.142364944136085,0.942629734971402,0,0,1,0.942629734971402,0,0.75,0.942629734971402,"07",60,"post",3,0
"61",61,61,2,1,7,2,1,1,0,0,0.942629734971402,0.142364944136085,0.654392026221577,0.654392026221577,1,2,0,0.654392026221577,0,0,"07",61,"post",3,0
"62",62,62,2,1,7,3,1,1,0,0,0.942629734971402,0.654392026221577,0.860727624503516,0.860727624503516,1,2,0,0.860727624503516,0,0,"07",62,"post",3,0
"63",63,63,2,1,7,4,1,1,0,0,0.942629734971402,0.860727624503516,0.943876310594415,0.943876310594415,1,2,0,0.943876310594415,0,0,"07",63,"post",3,0
"64",64,64,2,0,8,1,1,1,0,0,0.942629734971402,0.943876310594415,0.380361293503085,0.380361293503085,0,0,0,0.380361293503085,0,0,"07",64,"learning",2,1
"65",65,65,2,1,8,2,1,1,0,0,0.942629734971402,0.380361293503085,0.750299295297157,0.750299295297157,1,2,0,0.750299295297157,0,0,"07",65,"learning",2,1
"66",66,66,2,1,8,3,1,1,0,0,0.942629734971402,0.750299295297157,0.899376134390328,0.899376134390328,1,2,0,0.899376134390328,0,0,"07",66,"learning",2,1
"67",67,67,1,0,8,4,1,1,0,0,0.942629734971402,0.899376134390328,0.379858951076332,0.379858951076332,0,0,0.379858951076332,0,0,0,"07",67,"learning",2,0
"68",68,68,1,0,8,5,1,1,0,0,0.379858951076332,0.899376134390328,0.153074762400943,0.153074762400943,0,0,0.153074762400943,0,0,0,"07",68,"learning",2,0
"69",69,69,2,1,8,6,1,1,0,0,0.153074762400943,0.899376134390328,0.959450805946732,0.959450805946732,1,2,0,0.959450805946732,0,0,"07",69,"learning",2,1
"70",70,70,2,0,8,7,1,1,0,0,0.153074762400943,0.959450805946732,0.386637470933722,0.386637470933722,0,0,0,0.386637470933722,0,0,"07",70,"learning",2,1
"71",71,71,2,1,8,8,1,1,0,0,0.153074762400943,0.386637470933722,0.752828456098182,0.752828456098182,1,2,0,0.752828456098182,0,0,"07",71,"learning",2,1
"72",72,72,2,1,9,1,1,1,0,0,0.153074762400943,0.752828456098182,0.900395330298688,0.900395330298688,1,2,0,0.900395330298688,0.75,0,"07",72,"fill",2,1
"73",73,73,2,1,9,2,1,1,0,0,0.153074762400943,0.900395330298688,0.959861519373572,0.959861519373572,1,2,0,0.959861519373572,0,0,"07",73,"fill",2,1
"74",74,74,2,1,9,3,1,1,0,0,0.153074762400943,0.959861519373572,0.983825079367971,0.983825079367971,1,2,0,0.983825079367971,0,0,"07",74,"fill",2,1
"75",75,75,2,0,9,4,1,1,0,0,0.153074762400943,0.983825079367971,0.396459764451038,0.396459764451038,0,0,0,0.396459764451038,0,0,"07",75,"fill",2,1
"76",76,76,1,0,9,5,1,1,0,0,0.153074762400943,0.396459764451038,0.061685746295331,0.061685746295331,0,0,0.061685746295331,0,0,0,"07",76,"fill",2,0
"77",77,77,2,1,9,6,1,1,0,1,0.061685746295331,0.396459764451038,0.756786623312974,0.756786623312974,1,2,0,0.756786623312974,0,0,"07",77,"fill",2,1
"78",78,78,2,0,10,1,1,0,0,1,0.061685746295331,0,0.304968284210753,0,0,0,0,0.304968284210753,0,0.304968284210753,"07",78,"extinction",1,0
"79",79,79,1,0,10,2,1,0,0,1,0.061685746295331,0,0.0248579925020253,0.0248579925020253,0,0,0.0248579925020253,0,0,0,"07",79,"extinction",1,1
"80",80,80,2,0,10,3,1,0,0,1,0.0248579925020253,0,0.122895478737853,0,0,0,0,0.122895478737853,0,0.122895478737853,"07",80,"extinction",1,0
"81",81,81,2,0,10,4,1,0,0,1,0.0248579925020253,0,0.0495241619412745,0,0,0,0,0.0495241619412745,0,0.0495241619412745,"07",81,"extinction",1,0
"82",82,82,2,0,10,5,1,0,0,1,0.0248579925020253,0,0.0199571427783547,0,0,0,0,0.0199571427783547,0,0.0199571427783547,"07",82,"extinction",1,0
"83",83,83,1,0,10,6,1,0,0,1,0.0248579925020253,0,0.0100172216166819,0.0100172216166819,0,0,0.0100172216166819,0,0,0,"07",83,"extinction",1,1
"84",84,84,2,0,10,7,1,0,0,1,0.0100172216166819,0,0.00804228748682154,0,0,0,0,0.00804228748682154,0,0.00804228748682154,"07",84,"extinction",1,0
"85",85,85,2,0,10,8,1,0,0,1,0.0100172216166819,0,0.00324086412263562,0,0,0,0,0.00324086412263562,0,0.00324086412263562,"07",85,"extinction",1,0
"86",86,86,1,0,11,1,1,0,0,1,0.0100172216166819,0,0.00403671893092507,0.00403671893092507,0,0,0.00403671893092507,0,0,0,"07",86,"reinstatement",1,1
"87",87,87,1,1,11,2,1,0,0,1,0.00403671893092507,0,0.598648808517674,0.598648808517674,1,1,0.598648808517674,0,0,0,"07",87,"reinstatement",1,1
"88",88,88,1,1,11,3,1,0,0,1,0.598648808517674,0,0.838264339693955,0.838264339693955,1,1,0.838264339693955,0,0,0,"07",88,"reinstatement",1,1
"89",89,89,1,1,11,4,1,0,0,1,0.838264339693955,0,0.934824103254756,0.934824103254756,1,1,0.934824103254756,0,0,0,"07",89,"reinstatement",1,1
"90",90,90,2,1,11,5,1,0,0,1,0.934824103254756,0,0.598328096618325,0,0,2,0,0.598328096618325,0,0.598328096618325,"07",90,"reinstatement",1,0
"91",91,91,1,1,11,6,1,0,0,1,0.934824103254756,0,0.973735553998985,0.973735553998985,1,1,0.973735553998985,0,0,0,"07",91,"reinstatement",1,1
"92",92,92,1,1,11,7,1,0,0,1,0.973735553998985,0,0.989416008705848,0.989416008705848,1,1,0.989416008705848,0,0,0,"07",92,"reinstatement",1,1
"93",93,93,1,1,11,8,1,0,0,1,0.989416008705848,0,0.995734885414664,0.995734885414664,1,1,0.995734885414664,0,0,0,"07",93,"reinstatement",1,1
"94",94,94,2,0,12,1,1,0,0,0,0.995734885414664,0,0.24111299988625,0,0,0,0,0.24111299988625,0.875,0.24111299988625,"07",94,"post",3,0
"95",95,95,1,1,12,2,1,1,0,0,0.995734885414664,0.24111299988625,0.998281253081142,0.998281253081142,1,1,0.998281253081142,0,0,0,"07",95,"post",3,0
"96",96,96,2,0,12,3,1,1,0,0,0.998281253081142,0.24111299988625,0.0971632103568611,0.0971632103568611,0,0,0,0.0971632103568611,0,0,"07",96,"post",3,0
"97",97,97,2,1,12,4,1,1,0,0,0.998281253081142,0.0971632103568611,0.636176726466866,0.636176726466866,1,2,0,0.636176726466866,0,0,"07",97,"post",3,0
"98",98,98,2,0,13,1,1,1,0,0,0.998281253081142,0.636176726466866,0.256365161260492,0.256365161260492,0,0,0,0.256365161260492,0,0,"07",98,"fill",1,0
"99",99,99,1,1,13,2,1,1,0,0,0.998281253081142,0.256365161260492,0.999307382976007,0.999307382976007,1,1,0.999307382976007,0,0,0,"07",99,"fill",1,1
"100",100,100,2,1,13,3,1,1,0,0,0.999307382976007,0.256365161260492,0.700331594317914,0.700331594317914,1,2,0,0.700331594317914,0,0,"07",100,"fill",1,0
"101",101,101,2,0,13,4,1,1,0,0,0.999307382976007,0.700331594317914,0.282218155181885,0.282218155181885,0,0,0,0.282218155181885,0,0,"07",101,"fill",1,0
"102",102,102,1,1,13,5,1,1,1,0,0.999307382976007,0.282218155181885,0.999720890646167,0.999720890646167,1,1,0.999720890646167,0,0,0,"07",102,"fill",1,1
"103",103,103,2,0,14,1,0,1,1,0,0,0.282218155181885,0.11372767951707,0.11372767951707,0,0,0,0.11372767951707,0,0,"07",103,"extinction",2,1
"104",104,104,2,0,14,2,0,1,1,0,0,0.11372767951707,0.0458297414636619,0.0458297414636619,0,0,0,0.0458297414636619,0,0,"07",104,"extinction",2,1
"105",105,105,2,0,14,3,0,1,1,0,0,0.0458297414636619,0.0184683729725694,0.0184683729725694,0,0,0,0.0184683729725694,0,0,"07",105,"extinction",2,1
"106",106,106,1,0,14,4,0,1,1,0,0,0.0184683729725694,0.402865425098722,0,0,0,0.402865425098722,0,0,0.402865425098722,"07",106,"extinction",2,0
"107",107,107,2,0,14,5,0,1,1,0,0,0.0184683729725694,0.00744234615690278,0.00744234615690278,0,0,0,0.00744234615690278,0,0,"07",107,"extinction",2,1
"108",108,108,2,0,14,6,0,1,1,0,0,0.00744234615690278,0.00299910102538175,0.00299910102538175,0,0,0,0.00299910102538175,0,0,"07",108,"extinction",2,1
"109",109,109,1,0,14,7,0,1,1,0,0,0.00299910102538175,0.16234586298889,0,0,0,0.16234586298889,0,0,0.16234586298889,"07",109,"extinction",2,0
"110",110,110,2,0,14,8,0,1,1,0,0,0.00299910102538175,0.00120857143309619,0.00120857143309619,0,0,0,0.00120857143309619,0,0,"07",110,"extinction",2,1
"111",111,111,1,1,15,1,0,1,1,0,0,0.00120857143309619,0.662443894940951,0,0,1,0.662443894940951,0,0,0.662443894940951,"07",111,"reinstatement",2,0
"112",112,112,1,0,15,2,0,1,1,0,0,0.00120857143309619,0.266950249651125,0,0,0,0.266950249651125,0,0,0.266950249651125,"07",112,"reinstatement",2,0
"113",113,113,1,1,15,3,0,1,1,0,0,0.00120857143309619,0.704597151008886,0,0,1,0.704597151008886,0,0,0.704597151008886,"07",113,"reinstatement",2,0
"114",114,114,1,1,15,4,0,1,1,0,0,0.00120857143309619,0.880959180259544,0,0,1,0.880959180259544,0,0,0.880959180259544,"07",114,"reinstatement",2,0
"115",115,115,1,1,15,5,0,1,1,0,0,0.00120857143309619,0.952029180446712,0,0,1,0.952029180446712,0,0,0.952029180446712,"07",115,"reinstatement",2,0
"116",116,116,2,1,15,6,0,1,1,0,0,0.00120857143309619,0.597509127578109,0.597509127578109,1,2,0,0.597509127578109,0,0,"07",116,"reinstatement",2,1
"117",117,117,1,1,15,7,0,1,1,0,0,0.597509127578109,0.980668819875137,0,0,1,0.980668819875137,0,0,0.980668819875137,"07",117,"reinstatement",2,0
"118",118,118,1,1,15,8,0,1,1,0,0,0.597509127578109,0.992209961628761,0,0,1,0.992209961628761,0,0,0.992209961628761,"07",118,"reinstatement",2,0
"119",119,119,2,1,15,9,0,1,1,0,0,0.597509127578109,0.837805073462258,0.837805073462258,1,2,0,0.837805073462258,0,0,"07",119,"reinstatement",2,1
"120",120,120,2,1,15,10,0,1,1,0,0,0.837805073462258,0.934639029113167,0.934639029113167,1,2,0,0.934639029113167,0,0,"07",120,"reinstatement",2,1
"121",121,121,2,1,15,11,0,1,1,0,0,0.934639029113167,0.973660973210063,0.973660973210063,1,2,0,0.973660973210063,0,0,"07",121,"reinstatement",2,1
"122",122,122,2,1,15,12,0,1,1,0,0,0.973660973210063,0.989385954296147,0.989385954296147,1,2,0,0.989385954296147,0,0,"07",122,"reinstatement",2,1
"123",123,123,2,1,15,13,0,1,1,0,0,0.989385954296147,0.995722774151757,0.995722774151757,1,2,0,0.995722774151757,0,0,"07",123,"reinstatement",2,1
"124",124,124,2,1,16,1,0,1,1,0,0,0.995722774151757,0.998276372509849,0.401254272509849,0,1,0.5970221,0.401254272509849,0.75,0.5970221,"07",124,"switch",1,0
"125",125,125,2,1,16,2,0,1,1,0,0,0.401254272509849,0.999305416213637,0.161696604102047,0,1,0.83760881211159,0.161696604102047,0,0.83760881211159,"07",125,"switch",1,0
"126",126,126,2,1,16,3,0,1,1,0,0,0.161696604102047,0.999720098084397,0.0651601579581742,0,1,0.934559940126223,0.0651601579581742,0,0.934559940126223,"07",126,"switch",1,0
"127",127,127,2,1,16,4,0,1,1,0,0,0.0651601579581742,0.999887205713844,0.0262581036176533,0,1,0.973629102096191,0.0262581036176533,0,0.973629102096191,"07",127,"switch",1,0
"128",128,128,2,1,16,5,0,1,1,0,0,0.0262581036176533,0.999954546395433,0.0105814354538243,0,1,0.989373110941609,0.0105814354538243,0,0.989373110941609,"07",128,"switch",1,0
"129",129,129,1,1,16,6,0,1,1,0,0,0.0105814354538243,0.601271141364774,0.5970221,1,2,0.00424904136477381,0.5970221,0,0.00424904136477378,"07",129,"switch",1,1
"130",130,130,2,1,16,7,0,1,1,0,0.5970221,0.00426408463816768,0.997435930436628,0.00171833187291107,0,1,0.995717598563717,0.00171833187291107,0,0.995717598563717,"07",130,"switch",1,0
"131",131,131,1,1,16,8,0,1,1,0,0.5970221,0.00171833187291107,0.838298818986203,0.83760881211159,1,2,0.000690006874612609,0.83760881211159,0,0.000690006874612625,"07",131,"switch",1,1
"132",132,132,1,1,16,9,0,1,1,0,0.83760881211159,0.00069244976964877,0.93483799764754,0.934559940126223,1,2,0.000278057521316953,0.934559940126223,0,0.000278057521316932,"07",132,"switch",1,1
"133",133,133,1,1,16,10,0,1,1,0,0.934559940126223,0.000279041954028545,0.973741153132211,0.973629102096191,1,2,0.000112051036019511,0.973629102096191,0,0.000112051036019523,"07",133,"switch",1,1
"134",134,134,2,1,16,11,0,1,1,0,0.973629102096191,0.00011244774064632,0.998319600816635,4.53139543853986e-05,0,1,0.99827428686225,4.53139543853986e-05,0,0.99827428686225,"07",134,"switch",1,0
"135",135,135,2,0,16,12,0,1,1,0,0.973629102096191,4.53139543853986e-05,0.402300736265926,1.82605221789237e-05,0,0,0.402282475743747,1.82605221789237e-05,0,0.402282475743747,"07",135,"switch",1,0
"136",136,136,1,1,16,13,0,1,1,0,0.973629102096191,1.82605221789237e-05,0.989391307042452,0.989373110941609,1,2,1.81961008433354e-05,0.989373110941609,0,1.8196100843304e-05,"07",136,"switch",1,1
"137",137,137,1,0,16,14,0,1,1,0,0.989373110941609,7.3585868805661e-06,0.398702831190223,0.398695498563717,0,0,7.33262650603552e-06,0.398695498563717,0,7.33262650604027e-06,"07",137,"switch",1,1
"138",138,138,2,1,16,15,0,1,1,0,0.398695498563717,7.3585868805661e-06,0.759136012629904,2.96534788809808e-06,0,1,0.759133047282016,2.96534788809808e-06,0,0.759133047282016,"07",138,"switch",1,0
"139",139,139,1,1,16,16,0,1,1,0,0.398695498563717,2.96534788809808e-06,0.757688765504588,0.75768757475066,1,2,1.19075392865715e-06,0.75768757475066,0,1.19075392868151e-06,"07",139,"switch",1,1
"140",140,140,2,1,16,17,0,1,1,0,0.75768757475066,1.1949696647152e-06,0.902936422760674,4.81546366050635e-07,0,1,0.902935941214308,4.81546366050635e-07,0,0.902935941214308,"07",140,"switch",1,0
"141",141,141,1,1,16,18,0,1,1,0,0.75768757475066,4.81546366050635e-07,0.902353641097059,0.902353447729114,1,2,1.93367944957425e-07,0.902353447729114,0,1.93367944989475e-07,"07",141,"switch",1,1
"142",142,142,1,0,16,19,0,1,1,0,0.902353447729114,1.94052543343716e-07,0.363628575346646,0.363628497423638,0,0,7.79230083862589e-08,0.363628497423638,0,7.7923008379166e-08,"07",142,"switch",1,1
"143",143,143,1,1,16,20,0,1,1,0,0.363628497423638,1.94052543343716e-07,0.743556379673183,0.743556348271933,1,2,3.1401250281177e-08,0.743556348271933,0,3.14012502666827e-08,"07",143,"switch",1,1
"144",144,144,1,1,17,1,0,1,0,0,0.743556348271933,7.81988864063097e-08,0.896658888412302,0.896658875758292,1,2,1.26540098956831e-08,0.896658875758292,0,1.26540099509853e-08,"07",144,"post",3,0
"145",145,145,2,1,17,2,1,1,0,0,0.896658888412302,0.902935972726731,0.960885342123875,0.960885342123875,1,1,0.960885329425065,1.26988100550715e-08,0,0,"07",145,"post",3,0
"146",146,146,1,0,17,3,1,1,0,0,0.896658880857579,0.960885342123875,0.361333712824337,0.361333712824337,0,0,2.05489969851168e-09,0.361333710769438,0,0,"07",146,"post",3,0
"147",147,147,1,1,17,4,1,1,0,0,0.361333712824337,0.960885342123875,0.742631600793154,0.742631600793154,1,2,8.28079165216868e-10,0.742631599965075,0,0,"07",147,"post",3,0
"148",148,148,2,0,18,1,1,1,0,0,0.742631600793154,0.960885334542405,0.387215554254696,0.387215554254696,0,0,0.387215552192521,2.06217484961234e-09,0,0,"07",148,"learning",1,0
"149",149,149,2,0,18,2,1,1,0,0,0.742631600793154,0.387215554254696,0.156039310900893,0.156039310900893,0,0,0.156039310069882,8.31010890329597e-10,0,0,"07",149,"learning",1,0
"150",150,150,2,0,18,3,1,1,0,0,0.742631600793154,0.156039310900893,0.0628803938242891,0.0628803938242891,0,0,0.0628803934894101,3.34879023462151e-10,0,0,"07",150,"learning",1,0
"151",151,151,1,0,18,4,1,1,0,0,0.742631600793154,0.0628803938242891,0.299264122961264,0.299264122961264,0,0,3.33697603032847e-10,0.299264122627566,0,0,"07",151,"learning",1,1
"152",152,152,1,1,18,5,1,1,0,0,0.299264122961264,0.0628803938242891,0.717618927816272,0.717618927816272,1,2,1.3447275930521e-10,0.717618927681799,0,0,"07",152,"learning",1,1
"153",153,153,2,0,18,6,1,1,0,0,0.717618927816272,0.0628803936243589,0.0253394089739176,0.0253394089739176,0,0,0.0253394089195361,5.43814024189295e-11,0,0,"07",153,"learning",1,0
"154",154,154,1,1,18,7,1,1,0,0,0.717618927816272,0.0253394089739176,0.886206668531653,0.886206668531653,1,2,5.4189550152019e-11,0.886206668477463,0,0,"07",154,"learning",1,1
"155",155,155,1,1,18,8,1,1,0,0,0.886206668531653,0.0253394089414507,0.954143802250882,0.954143802250882,1,2,2.18371911222053e-11,0.954143802229044,0,0,"07",155,"learning",1,1
"156",156,156,1,1,18,9,1,1,0,0,0.954143802250882,0.0253394089283672,0.981520965729076,0.981520965729076,1,2,8.79990542032494e-12,0.981520965720276,0,0,"07",156,"learning",1,1
"157",157,157,1,1,18,10,1,1,0,0,0.981520965729076,0.0253394089230949,0.992553357575475,0.992553357575475,1,2,3.54616740648116e-12,0.992553357571929,0,0,"07",157,"learning",1,1
